よごれます,汚れます,[clothes] get dirty
つきます,付きます,[a pocket] is attached
はずれます,外れます,[a button] is undone
とまります,止まります,"[a car] stops,parks"
まちがえます,間違えます,[a person] makes a mistake
おとします,落とします,"drops,loses"
かかります,掛かります,is locked
ふきます,拭きます,wipes
とりかえます,取り替えます,changes
かたづけます,片づけます,"puts (things) in order,tidies up"
[お]さら,[お]皿,"plate,dish"
[お]ちゃわん,茶碗,(rice) bowl
コップ,,glass (vessel)
ガラス,,glass (material)
ふくろ,袋,bag
しょるい,書類,"document,papers"
えだ,枝,"branch,twig"
えきいん,駅員,station attendant
こうばん,交番,police box
スピーチ,,speech (~をします: gives/makes a speech)
おさき,お先,"After you, go ahead, please"
げんじものがたり,源氏物語,The Tale of Genji (a novel written by Murasaki Shikibu in the Heian Era)
かいわ,会話,conversation
いま,今,now
てんしゃ,電車,train
のこ,残る,"to be left behind,lost property"
くらい,ぐらい,"about,around"
がわ,側,side
ポケット,,pocket
へん,辺,"around,about"
おば,,"auntie,elderly woman"
おぼえていません,覚えていません,I don't remember
あみだな,網棚,overhead rack
たし,確か,I'm pretty sure
[ああ,]よかった。,"[ああ, ]よかった。[Oh] that's great! Thank goodness! (used to express a feeling of relief)"
しんじゅく,新宿,name of a station/district in Tokyo
じしん,地震,earthquake
かべ,壁,wall
はり,針,hand (of a clock)
さします,指します,to point
えきまえ,駅前,the area in front of a station
たお,倒れる,to fall down
にし,西,west
ほう,方,direction of ~
もえます,燃える,to burn
レポーター,レポーター,reporter
はります,貼ります,"to put up, post, paste"
かけます,掛けます,to hang
かざります,飾ります,"to display,decorate"
ならべます,並べます,"to arrange,line up"
うえます,植えます,to plant
もどします,戻します,"to return,put back"
まとめます,,"to put (things) together, put in shape, sum"
しまいます,,to put (things) away
きめます,決めます,to decide
よしゅうします,予習します,to prepare one's lesson
ふくしゅうします,復習します,to review one's lesson
そのままにします,,to leave things as they are
じゅぎょう,授業,class
こうぎ,講義,lecture
ミーティング,,meeting
よてい,予定,"plan, schedule"
おしらせ,お知らせ,notice
ガイドブック,,guidebook
カレンダー,,calendar
ポスター,,poster
よていひょう,予定表,schedule
ごみばこ,ごみ箱,"trash can, dustbin"
にんぎょう,人形,doll
かびん,花瓶,vase
かがみ,鏡,mirror
ひきだし,引き出し,drawer
げんかん,玄関,"front door, porch, entrance hall"
ろうか,廊下,"corridor, hallway"
かべ,壁,wall
いけ,池,pond
もとのところ,元のところ,original place
まわり,周り,"round, around"
まんなか,真ん中,center
すみ,隅,corner
まだ,,still
リュック,,rucksack
ひじょうぶくろ,非常袋,emergency kit
ひじょうじ,非常時,emergency
せいかつ,生活,life
かいちゅうでんとう,懐中電灯,"torch, flashlight"
"~とか, 〜とか",,"~, ~, and so on"
まるい,丸い,round
ある~,,"one, a certain ~"
ゆめ,夢,dream
うれしい,嬉しい,"glad, happy"
いや[な],嫌[な],"hateful, disagreeable"
すると,,"and, then"
めがさめます,目が覚めます,wakes up
つづけます,続けます,continue
みつけます,見つけます,find
とります,取ります,take [a holiday]
うけます,受けます,take [an examination]
もうしこみます,申し込みます,"apply for, enter for"
きゅうけいします,休憩します,"take a break, take a rest"
れんきゅう,連休,consecutive holidays
さくぶん,作文,"essay, composition"
はっぴょう,発表,"announcement, presentation"
てんらんかい,展覧会,exhibition
けっこんしき,結婚式,wedding ceremony
[お]そうしき,[お]葬式,funeral
しき,式,ceremony
ほんしゃ,本社,head office
してん,支店,branch office
きょうかい,教会,church
だいがくいん,大学院,graduate school
どうぶつえん,動物園,zoo
おんせん,温泉,"hot spring, spa"
かえり,帰り,return
お子さん,,(someone else's) child
いちごう,一号,"(train number, typhoon number"
~のほう,~の方,"place toward, direction of ~"
ずっと,,the whole time
バリ,,Bali (Indonesian island)
パブロ・ピカソ,,"Pablo Picasso, Spanish painter (1881-1973)"
のぞみ,,name of a Shinkansen train (~42号: Nozomi Superexpress No.42)
ながさき,長崎,name of a station in Hyogo prefecture
のこる,残る,"remain, be left, stay behind"
にゅうがくしけん,入学試験,entrance examination
つき,月,per month
むら,村,village
そつぎょうします,卒業します,graduate
えいがかん,映画館,"movie theater, cinema"
いや[な],嫌[な],"hateful, disagreeable"
そら,空,sky
ちかい,近い,close
し,市,city
こどもたち,子どもたち,children
じゆうに,自由に,freely
うんどうします,運動します,(take) exercise
せいこうします,成功します,succeed
しっぱいします,失敗します,fail [an examination]
ごうかくします,合格します,pass [an examination]
やみます,止みます,[rain] stop
はれます,晴れます,clear up
くもります,曇ります,get cloudy
つづきます,続きます,[high temperature/fever] continue
ひきます,引きます,catch [a cold]
ひやします,冷やします,cool
こみます,込みます,[a road] get crowded
すきます,空きます,[a road] get less crowded
でます,出ます,"participate [in the match], attend [a party]"
むりをします,無理をします,overdo things
じゅうぶん[な],十分[な],"enough, sufficient"
おかしい,,"strange, funny"
うるさい,,noisy
せんせい,先生,doctor
やけど,,burning (~をします: get burned)
けが,怪我,injury (~をします: get injured)
せき,咳,cough (~をします/~がでます: have a cough)
インフルエンザ,,influenza
そら,空,sky
たいよう,太陽,sun
ほし,星,star
かぜ,風,wind
ひがし,東,east
にし,西,west
みなみ,南,south
きた,北,north
げんき,元気,vigor
い,胃,stomach
ストレス,,stress
それはいけませんね,,I'm sorry to hear that
ほしうらない,星占い,horoscope
おうしざ,牡牛座,Taurus
はたらきすぎ,働きすぎ,overworking
こまります,困ります,"be in trouble, have a problem"
たからくじ,宝くじ,lottery
あたります,当たります,win [a lottery]
けんこう,健康,health
れんあい,恋愛,romantic love
こいびと,恋人,"sweetheart, boyfriend, girlfriend"
ラッキーアイテム,,something lucky
いし,石,stone
にげます,逃げます,run away
さわぎます,騒ぎます,make a noise
あきらめます,,give up
なげます,投げます,throw
まもります,守ります,"keep, follow, obey"
はじまります,始まります,"[a ceremony] begin, start"
しゅっせきします,出席します,attend [a meeting]
つたえます,伝えます,convey
ちゅういします,注意します,be careful [of the cars]
はずします,外します,be away [from one's desk]
もどります,戻ります,"come back, return"
あります,,have [a telephone call]
リサイクルします,,recycle
だめ [な],,"no good, not permitted, impossible"
おなじ,同じ,same
けいさつ,警察,police (station)
せき,席,seat
マーク,,"mark, symbol"
ボール,,ball
しめきり,締め切り,deadline
きそく,規則,"regulation, rule"
きけん,危険,Danger
しょうきんし,使用禁止,Do Not Use
たちいりきんし,立入禁止,Keep Out
じょこう,徐行,Go Slow
いりぐち,入口,entrance
でぐち,出口,exit
ひじょうぐち,非常口,emergency exit
むりょう,無料,Free of Charge
わりびき,割引,Discount
のみほうだい,飲み放題,All You Can Drink
しょうちゅう,使用中,In Use
ぼしゅうちゅう,募集中,Applications Wanted
どういう~,,what (kind of~)
いくら[~ても],,"however, even if ~"
もう,,"(not) any longer (used with negatives), ~ left, about ~"
あと~,,after ~
~ほど,,about ~
かいわ,会話,conversation
ちゅうしゃいはん,駐車違反,parking violation
ぱっきん,罰金,fine
じしん,地震,earthquake
おきます,起きます,happen
たすけあいます,助け合います,help each other
もともと,,originally
かなしい,悲しい,sad
あいさつ,,"greeting, address (~をします: greet, give an address)"
あい,相手,the other person
きもち,気持ち,feeling
みがきます,磨きます,"brush [one's teeth], polish"
くみたてます,組み立てます,assemble
おります,折ります,"bend, fold, break, snap"
きがつきます,気がつきます,"notice, become aware of [things left behind]"
つけます,,put [in soy sauce]
みつかります,見つかります,[a key] be found
しつもんします,質問します,ask a question
さします,,put up [an umbrella]
スポーツクラブ,,sports club
[お]しろ,[お]城,castle
せつめいしょ,説明書,"explanatory pamphlet, instruction book"
ず,図,"figure, drawing"
せん,線,line
やじるし,矢印,arrow (sign)
くろ,黒,black (noun)
しろ,白,white (noun)
あか,赤,red (noun)
あお,青,blue (noun)
こん,紺,"navy blue, dark blue (noun)"
きいろ,黄色,yellow (noun)
ちゃいろ,茶色,brown (noun)
しょうゆ,,"soya, soy sauce"
ソース,,"sauce, Worcestershire sauce"
おきゃく [さん],お客[さん],"visitor, guest, customer, client"
ゆうべ,,last night
さっき,,a short while ago
おやこどんぶり,親子丼,a bowl of cooked rice with chicken
ざいりょう,材料,"material, ingredient"
~ぶん,~分,portion for (used for indicating quantity)
ひとつ,,one
1グラム,,1 gramme
よんぶんのいち,4分の1,one fourth
たまねぎ,玉ねぎ,onion
ちょうみりょう,調味料,"seasoning, flavoring"
てきとうなおおきさ,適当な大きさ,in right size
なべ,鍋,"pan, pot"
ひ,火,"fire, heating"
ひにかけます,火にかけます,put on the stove
にます,煮ます,"cook, boil"
にえます,煮えます,"be cooked, be boiled"
どんぶり,丼,bowl
たちます,,pass (time)
さきます,咲きます,[flowers] bloom
かわります,変わります,[the color] change
こまります,困ります,"be in trouble, have a problem"
つけます,付けます,"draw [a circle], mark [with a circle], add"
なおります,"治ります, 直ります","recover from [sickness], get well, be fixed, be repaired"
クリックします,,click
にゅうりょくします,入力します,input
ただしい,正しい,"correct, right"
むこう,向こう,"over there, the other side"
しま,島,island
みなと,港,"port, harbor"
きんじょ,近所,"neighborhood, vicinity"
おくじょう,屋上,rooftop
かいがい,海外,overseas
やまのぼり,山登り,mountain climbing
れきし,歴史,history
きかい,機会,"chance, opportunity"
きょか,許可,permission
まる,丸,circle
ふりがな,,(kana above or beside kanji indicating its pronunciation)
せつび,設備,"equipment, facilities"
レバー,,lever
キー,,key
カーテン,,curtain
ひも,紐,string
すいはんき,炊飯器,rice cooker
は,葉,leaf
むかし,昔,"old days, ancient times"
もっと,,more
はこね,箱根,resort and tourist spot in Kanagawa prefecture
にっこう,日光,tourist spot in Tochigi prefecture
アフリカ,,Africa
マンガミュージアム,,Kyoto International Manga Museum
~ご,,a fictitious Japanese language school
だいこく,大黒,a fictitious sushi restaurant
きょうしつ,教室,class
IMC パソコン教室,,a fictitious computer school
ははあじ,母の味,a fictitious book
はる,,a fictitious hair salon
佐藤歯科,,a fictitious dental clinic
まいにち,毎日,every day
まいにちクッキング,,a fictitious cooking school
かいわ,会話,conversation
それなら,,in that case
やこうバス,夜行バス,overnight bus
さあ,,"well, let me see (used when unsure of something)"
くわしい,詳しい,detailed
じょう,乗,get on
りょこうしゃ,旅行社,travel agency
しがこうげん,志賀高原,ski resort in Gunma prefecture
げっこう,月光,moonlight
まじ,交わります,keep company with
かんけい,関係,relationship
なかよくします,仲よくします,be on good terms with
ひつよう,必要,"necessary, essential"
あいます,会います,encounter [an accident]
ちょきんします,貯金します,save money
すぎます,過ぎます,pass [7 o'clock]
なれます,慣れます,get accustomed to [one's job]
くさります,腐ります,[food] rot
けんどう,剣道,kendo (Japanese style fencing)
じゅうどう,柔道,judo
ラッシュ,,rush hour
うちゅう,宇宙,"space, universe"
きょく,曲,a piece of music
まいしゅう,毎週,every week
まいつき,毎月,every month
まいとし,毎年,every year
このごろ,,these days
やっと,,finally
かなり,,fairly
かならず,必ず,"without fail, by any means"
ぜったいに,絶対に,absolutely
じょうずに,上手に,"well, skillfully"
できるだけ,,as much as possible
ほとんど,,"almost all (in affirmative sentences), hardly, scarcely (in negative sentences)"
ショパン,,"Chopin, Polish musician (1810-1849)"
おきゃくさま,お客様,"visitor, guest, customer, client (respectful equivalent of おきゃくさん)"
とくべつ,特別,special
していらっしゃいます,,be doing (respectful equivalent of しています)
すいえい,水泳,swimming
ちがいます,違います,be different
つかっていらっしゃるんですね,使っていらっしゃるんですね,"You're using, aren't you? (respectful equivalent of つかっているんです)"
チャレンジします,,challenge
きもち,気持ち,"spirit, mood"
よもの,読み物,reading material
のりもの,乗り物,"vehicle, means of transportation"
せいき,一世紀,-th century
とおく,遠く,"far, remote place"
めずらしい,,"rare, uncommon"
きしゃ,汽車,locomotive
きせん,汽船,steam boat
おおぜい,大勢,many (people)
はこびます,運びます,"carry, transport"
りようします,利用します,use
じゆうに,自由に,freely
ほめます,褒めます,praise
しかります,叱ります,scold
さそいます,誘います,"invite, ask someone to join"
しょうたいします,招待します,invite
たのみます,頼みます,"ask, request"
ちゅういします,注意します,"warn, advise"
とります,取ります,"rob, steal"
ふみます,踏みます,step on
こわします,壊します,"break, destroy"
よごします,汚します,make dirty
おこないます,行います,"hold, carry out, practice"
ゆしゅつします,輸出します,export
ゆにゅうします,輸入します,import
ほんやくします,翻訳します,translate
はつめいします,発明します,invent
はっけんします,発見します,discover
こめ,米,rice
むぎ,麦,"barley, wheat"
せきゆ,石油,oil
げんりょう,原料,raw material
インスタントラーメン,,instant noodles
デート,,date
とろぼう,泥棒,"thief, robber"
けいかん,警官,policeman
せかいじゅう,世界中,all over the world
~じゅう,~中,all over~
一せいき,一世紀,-th century
なにご,何語,what language
だれか,誰か,somebody
よかったですね,,Sounds good
オリンピック,,Olympic Games
ワールドカップ,,World Cup
とうだいじ,東大寺,Todaiji Temple
だいぶつ,大仏,Great Buddha
えどじだい,江戸時代,Edo Period (1603-1868)
ポルトガル,,Portugal
サウジアラビア,,Saudi Arabia
ロシア,,Russia
みなさま,皆様,"Ladies and gentlemen, everybody (respectful equivalent of みなさん)"
やけます,焼けます,[house] burn down
そのあと,,"after that, later"
せかいいさん,世界遺産,World Heritage Site
ひとつ,,one of the ~
きんいろ,金色,golden color
ほんもの,本物,real thing
きん,金,gold
~キロ,,"- kilogrammes, - kilometres"
うつくしい,美しい,"beautiful, pretty"
ごうか,豪華,gorgeous
ちょうこく,彫刻,"engraving, carving, sculpture"
いいつたえ,言い伝え,"tradition, legend"
ねむります,眠ります,sleep
ほります,彫ります,"engrave, carve"
なかま,仲間,"colleague, friend"
しかし,,"however, but"
いっしょうけんめい,一生懸命,with all one's effort
ねずみ,鼠,mouse
いっぴきもいません,一匹もいません,There is not a single (mouse)
とうしょうぐう,東照宮,"shrine dedicated to Tokugawa Ieyasu in Nikko, Tochigi prefecture"
ねむりねこ,眠り猫,The Sleeping Cat
ひだりじんごろう,左甚五郎,famous Japanese sculptor of the Edo Period (1594-1651)
さんかしますⅢ,参加します,"join [a tour], participatel, attend"
そだてますⅡ,育てます,"breed, bring up"
はこびますⅠ,運びます,"carry, transport"
にゅういんしますⅢ,入院します,enter hospital
たいいんしますⅢ,退院します,leave hospital
いれますII,入れます,turn on [the power switch]
きりますⅠ,切ります,turn off [the power switch]
かけますⅡ,掛けます,lock
つきますⅠ,つきます,tell [a lie]
きもちがいい,気持ちがいい,"pleasant, agreeable"
きもちがわるい,気持ちが悪い,"unpleasant, disgusting"
おおきな~,大きな~,"large~, big~"
ちいさな~,小さな~,"small, little ~"
あかちゃん,赤ちゃん,baby
しょうがっこう,小学校,elementary school
ちゅうがっこう,中学校,junior high school
えきまえ,駅前,the area in front of the station
かいがん,海岸,"seaside, seashore"
こうじょう,工場,factory
むら,村,village
かな,,hiragana and katakana script
ゆびわ,指輪,ring
でんげん,電源,power switch
しゅうかん,習慣,habit
けんこう,健康,health
〜せい,~製,made in ~
おととし,,the year before last
"[あ, ]いけない。",,Oops!/Oh no! (used when one has made a mistake)
おさき,お先に,Excuse me (for leaving before you)
しつれいします,失礼します,Excuse me
げんばくドーム,原爆ドーム,dome commemorating the atomic bombing of Hiroshima
いずもたいしゃ,出雲大社,a shrine in Izumo city in Shimane prefecture
チェンマイ,,Chiangmai (in Thailand)
かいわ,会話,conversation
エン,円,circle
けんきゅうしつ,研究室,"study room, professor's office, laboratory"
きちんと,きちんと,"neatly, tidily"
せいり,整理,sort (things) out
ほうほう,方法,method
~という,~という,"entitled, named, called"
さつ,一冊,(counter for books etc.)
はんこ,,"seal, stamp"
おします,押します,"affix [a seal], stamp"
ふたご,双子,twins
ごねんせい,5年生,"fifth grade, fifth year"
にています,似ています,"resemble, be like"
せいかく,性格,character
おとなしい,大人しい,"quiet, gentle"
やさしい,優しい,"kind, gentle, tender-hearted"
せわ,世話,"care, take care of"
じかん,時間,time
たちます,経ちます,pass by
だいすき,大好き,like very much
くらい,ぐらい,"about, around"
けんかします,喧嘩します,"quarrel, fight"
ふしぎ,不思議,"mysterious, strange"
ねんれい,年齢,age
しかた,仕方,way (of doing something)
こたえますII,答えます,answer [a question]
たおれますII,倒れます,[a building] fall down
とおりますⅠ,通ります,pass [along a street]
しにますⅠ,死にます,die
びっくりしますⅢ,びっくりします,be surprised
がっかりしますⅢ,がっかりします,be disappointed
あんしんしますⅢ,安心します,be relieved
けんかしますⅢ,喧嘩します,"quarrel, fight"
りこんしますⅢ,離婚します,divorce
ふとりますⅠ,太ります,"get fat, gain weight"
やせますII*,やせます,"get slim, lose weight"
ふくざつ [な],複雑[な],"complicated, complex"
じゃま [な],邪魔[な],"obstructive, in the way"
かたい,硬い,"hard, tough, solid"
やわらかい,軟らかい,"soft, tender"
きたない,汚い,dirty
うれしい,嬉しい,"glad, happy"
かなしい,悲しい,sad
はずかしい,恥ずかしい,"embarrassed, ashamed"
しゅしょう,首相,Prime Minister
じしん,地震,earthquake
つなみ,津波,"tsunami, tidal wave"
たいふう,台風,typhoon
かみなり,雷,thunder
かじ,火事,fire
じこ,事故,accident
ハイキング,,hiking
[お]みあい,[お]見合い,a meeting arranged with a view to marriage
そうさ,操作,operation (~します: operate)
かいじょう,会場,"venue, event location"
~だい,~代,"charge, fare, fee"
~や,~屋,"-er (e.g. baker, grocer, etc.)"
フロント,,"front desk, reception desk"
―ごうしつ,一号室,room number
タオル,,towel
せっけん,石鹸,soap
おおぜい,大勢,a great number (of people)
おつかれさまでした。,お疲れさまでした。,Thank you for your hard work. (used to express appreciation for a colleague's or subordinate's work)
うかがいます。,伺います。,I'm coming. (humble equivalent of 行きます)
かいわ,会話,conversation
とちゅう,途中,"on the way, in the midst of"
トラック,,"truck, lorry"
ぶつかります,,"bump, collide"
しかし,,"however, but"
また,,and
ようふく,洋服,Western clothes
せいようかします,西洋化します,be Westernized
いま,今,now
せいじんしき,成人式,coming-of-age celebration
でんとうてき,伝統的,traditional
かぞえますII,数えます,count
はかりますⅠ,"測ります, 量ります","measure, weigh"
たしかめますⅡ,確かめます,"confirm, make sure"
あいますⅠ,[サイズが~] 合います,[the size] fit
しゅっぱつしますⅢ,出発します,depart
とうちゃくしますⅢ,到着します,arrive
よいますⅠ,酔います,get drunk
うまくいきますⅠ,うまくいきます,go well
でますII,[もんだいが~] 出ます,[problems] be on the test
そうだんしますⅢ,相談します,"consult, discuss"
ひつよう[な],必要[な],necessary
てんきよほう,天気予報,weather forecast
ぼうねんかい,忘年会,year-end party
しんねんかい,新年会,New Year's party
にじかい,二次会,second party
はっぴょうかい,発表会,presentation meeting
たいかい,大会,"rally, convention"
マラソン,,marathon
コンテスト,,contest
おもて,表,"face, front"
うら,裏,back (side)
まちがい,間違い,mistake
きず,傷,"defect, wound, scratch"
ズボン,,trousers
[お]としより,お年寄り,elderly person
ながさ,長さ,length
おもさ,重さ,weight
たかさ,高さ,height
おおきさ,大きさ,"size, scale"
[-]びん,[一]便,"flight, flight number"
ーご,,counter for small objects
ーほん、ーぽん、ーぼん,＝本,counter for long objects
-はい、ーぱい、ーばい,一杯,glass or cup of (counter for full cups glasses	etc.)
センチ,センチメートル,centimeters
ミリ,ミリメートル,millimeters
グラム,,grammes
~いじょう,~以上,"not less than ~, over ~"
~いか,~以下,"not more than ~, under ~"
ながさき,長崎,capital of Nagasaki prefecture
せんだい,仙台,capital of Miyagi prefecture
JL,日本航空,Japan Airlines
たなばたまつり,※七夕祭り,the Star Festival
どうしょうぐう,東照宮,shrine dedicated to Tokugawa Ieyasu in Nikko
かいわ,会話,conversation
どうでしょうか。,,How is ~? (polite equivalent of どうですか)
テスト,,"test, examination"
せいせき,成績,"performance, score, result"
ところで,,by the way
いらっしゃいます,,come (respectful equivalent of きます)
ようす,様子,"situation, condition. appearance"
もの,,things
じけん,事件,"incident, case"
オートバイ,,motorcycle
ばくだん,爆弾,bomb
つみます,積みます,"load, pile up"
えんかく,遠隔,remote
きゅうに,急に,suddenly
うごかします,動かします,"start, operate, move"
いっしょうけんめい,一生懸命,with all one's effort
はんにん,犯人,"offender, criminal"
おとこ,男,man
てにいれます,手に入れます,"obtain, get"
いまでも,今でも,even now
いただきます,,receive (humble equivalent of もらいます)
ください,,give (respectful equivalent of くれます)
やります,,"give (to a younger person, subordinate, animals, or plants)"
あげます,上げます,give
さげます,下げます,lower
しんせつにします,親切にします,be kind to
かわいい,,"lovely, cute"
めずらしい,珍しい,"rare, uncommon"
おいわい,お祝い,"celebration, gift (~をします: celebrate)"
おとしだま,お年玉,money given as a New Year's gift
[お]みまい,[お] 見舞い,"expression of sympathy, consolatory gift to a sick person"
きょうみ,興味,interest
じょうほう,情報,information
ぶんぽう,文法,grammar
はつおん,発音,pronunciation
さる,猿,"ape, monkey"
えさ,,"feed, bait"
おもちゃ,,toy
えほん,絵本,picture book
えはがき,絵はがき,picture postcard
ドライバー,,screwdriver
ハンカチ,,handkerchief
くつした,靴下,"socks, stockings"
てぶくろ,手袋,gloves
ようちえん,幼稚園,"preschool, kindergarten"
だんぼう,暖房,heating
れいぼう,冷房,air-conditioning
おんど,温度,temperature
そふ,祖父,(my) grandfather
そぼ,祖母,(my) grandmother
まご,孫,(my) grandchild
おまごさん,お孫さん,(someone else's) grandchild
おじ,,(my) uncle
おじさん,,(someone else's) uncle
おば,,(my) aunt
おばさん,,(someone else's) aunt
かんりにん,管理人,"janitor, caretaker"
〜さん,,(suffix added to a person's job title as a polite way of referring to them)
このあいだ,この間,the other day
ひとこと,,a few words
ずつ,,each
ふたり,二人,couple
おたく,お宅,home (respectful equivalent of うち or いえ)
しあわせ,幸せ,happy
どうぞおしあわせに,どうぞお幸せに,I hope you will be very happy
よみもの,読み物,reading material
むかしばなし,昔話,"old tale, folklore"
ある,,"a certain, one"
おとこ,男,man
こどもたち,子どもたち,children
いじめます,,"bully, abuse, ill-treat"
かめ,,"turtle, tortoise"
たす,助けます,"save, help"
やさしい,優しい,"kind, gentle, tender-hearted"
ひめさま,お姫様,princess
くらします,暮らします,"live, lead a life"
りく,陸,"land, shore"
すると,,"and, then"
けむり,煙,smoke
ましろ,真っ白,pure white
なかみ,中身,content
うらしまたろう,浦島太郎,name of the main character in an old folk tale
つつみます,包みます,wrap
わかします,沸かします,boil
まぜます,混ぜます,mix
けいさんします,計算します,calculate
ならびます,並びます,"stand in a queue, line up"
じょうぶ,丈夫,"strong, healthy"
アパート,,"apartment, flat"
